url,name,description
,IP Geolocation Server,Retrieve detailed information about an IP address to determine user location and network details. Enhance your applications with geolocation capabilities using this simple and effective server. Get started quickly by integrating with the IPInfo API.
,,
,Keycloak,Manage users and realms in Keycloak.
,,
,AST Model Context Protocol Server,"Integrate your applications with advanced language models to access real-time data and perform actions seamlessly. Enhance your workflows by leveraging tools and resources dynamically, ensuring a more interactive and efficient experience. Empower your agents with the ability to manipulate and reference real-world data effortlessly."
,,
,Refine Prompt,"Transform ordinary prompts into powerful, structured instructions for any large language model. Enhance your AI interactions by refining your prompts for better understanding and response quality. Unlock the full potential of AI with expertly engineered prompts tailored to your needs."
,,
,Simple MCP Server,Integrate your applications with external data and tools seamlessly. Enhance your workflows by leveraging real-world data and actions through a standardized protocol. Experience dynamic interactions with your LLMs and external resources effortlessly.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Replicate FLUX Image Generator,Generate images using advanced AI models and store them securely in the cloud. Easily create custom prompts and retrieve accessible image URLs for your projects.
,,
,Solana Client,"Connect to the Solana blockchain and access its data seamlessly. Retrieve account balances, transaction details, and blockchain information with ease. Enhance your applications by integrating real-time Solana data and functionalities."
,,
,Unreal Engine Plugin,"Control Unreal Engine with AI tools to enhance your game development workflow. Integrate external AI systems to manipulate the Unreal environment programmatically, enabling powerful scene manipulation and automation. Streamline your development process and unleash creativity with AI-driven commands."
,,
,MCP Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized protocol."
,,
,Think Tool Server,Enhance Claude's reasoning capabilities by providing a structured thinking space for complex problem-solving. Utilize thought history and analysis to improve performance in tasks requiring detailed reasoning. Start fresh with the clean slate option to clear past thoughts and focus on new challenges.
,,
,Test MCP Service,"Provide a simple and effective way to implement the Model Context Protocol. Easily integrate your applications with external data and tools, enhancing their capabilities. Start building your own MCP server with this example implementation."
,,
,Generate Image from HTML,"Create images from HTML content effortlessly. Store and summarize notes with a simple interface, enhancing your productivity and organization. Utilize a custom URI scheme for easy access to your notes."
,,
,Cloudinary Server,Upload images and videos to Cloudinary.
,,
,Apache Doris MCP Server,Connect to [Apache Doris](https://doris.apache.org/) seamlessly and leverage its powerful data processing capabilities. Simplify your data interactions and enhance your applications with a robust MCP server tailored for Doris. Experience efficient data management and querying with minimal setup.
,,
,chinarailway MCP 服务端,chinarailway MCP 服务端
,,
,SourceSync.ai MCP Server,"Integrate your AI models with SourceSync.ai's knowledge management platform. Seamlessly manage, ingest, and search your documents while leveraging external services for enhanced data retrieval. Empower your AI with organized knowledge and efficient document management."
,,
,eRegulations MCP Server,"Access eRegulations data seamlessly through a standardized protocol. Query administrative procedures, steps, requirements, and costs effortlessly, enhancing your AI's ability to assist users. Utilize prompt templates to guide LLMs in effectively using the available tools."
,,
,Palo Alto Networks MCP Server Suite,"Manage your Palo Alto Networks firewalls and services seamlessly through a unified API interface. Simplify firewall operations, policy management, and device monitoring with specialized servers tailored for your needs."
,,
,Prem AI MCP Server,Integrate seamlessly with Prem AI's powerful features for chat completions and document management. Enhance your AI assistants with Retrieval-Augmented Generation capabilities and real-time streaming responses. Upload and manage documents effortlessly to enrich your interactions.
,,
,Developer Name,An MCP server implementation that provides a tool for current developer name to LLM. Return the name from environment variable DEVELOPER_NAME
,,
,Code Review Server,Analyze your codebases efficiently with structured reviews and actionable insights. Leverage the power of Large Language Models to identify issues and improve code quality. Simplify your code review process with automated analysis and recommendations tailored to your needs.
,,
,FTP Access Server,"Interact with FTP servers seamlessly. List directories, upload and download files, and manage your FTP resources effortlessly using natural language commands."
,,
,AWS SES Email Sender,"Send emails directly from your applications using AWS SES. Integrate seamlessly with Cursor or Claude Desktop to compose and dispatch emails without manual copy-pasting. Enjoy features like CC, BCC, and customizable sender addresses for enhanced email management."
,,
,Add Test,Enhance your applications with dynamic integration capabilities. Seamlessly connect your LLMs to external data and tools for enriched interactions and functionalities.
,,
,Math MCP Server,Enhance your applications with mathematical computation capabilities. Perform complex calculations and operations seamlessly through a standardized interface. Leverage the power of a dedicated server for efficient processing of mathematical tasks.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,NPM MCP Server,Fetch detailed information about npm packages and discover the most popular ones. Enhance your development workflow by integrating package insights directly into your applications.
,,
,Create GitHub Repository Server,Create new GitHub repositories effortlessly. Automate repository setup with customizable options like visibility and initialization. Streamline your project management by integrating repository creation into your workflows.
,,
,Outreach Today MCP,Set up and manage cold outreach email accounts and domains. Build powerful AI sales agents effortlessly. Trusted by 2000+ B2B companies
,,
,Superset Integration,"Connect and control your Apache Superset instance programmatically with ease. Enable AI agents to manage dashboards, charts, and databases using natural language requests. Streamline your data exploration and visualization tasks effortlessly."
,,
,CoinMarketCap MCP,"Access the complete CoinMarketCap API with 20+ basic endpoints and 50+ total, including cryptocurrency market data, exchange information, and other blockchain-related metrics."
,,
,Adjust Reporting Server,"Access your Adjust data seamlessly from any MCP client. Query reports, metrics, and performance data on-demand to gain insights into your campaigns. Perfect for quick lookups like install numbers for specific campaigns."
,,
,Zerodha Integration,"Interact with your Zerodha trading account directly through Claude AI. Manage your stocks, mutual funds, and trading orders seamlessly with voice commands and automated processes."
,,
,My First MCP,Create and manage your own Model Context Protocol server effortlessly. Integrate various tools and resources to enhance your applications with real-world data and actions. Streamline your development process with built-in support for TypeScript and modern JavaScript tooling.
,,
,Google Maps API Server,"Leverage the power of Google Maps to enhance your applications with location services, directions, and place details. Integrate seamlessly with your LLMs to provide real-time geographic data and insights. Start building location-aware applications effortlessly with this MCP server."
,,
,Coze Workflow,Integrate workflow automation into your applications. Streamline processes and enhance productivity with easy-to-use tools and commands. Leverage the power of MCP to connect your workflows seamlessly.
,,
,MCP Server,Integrate your applications with external data and tools seamlessly. Enhance your workflows by allowing your language models to interact with real-world resources and perform actions dynamically. Experience a standardized and secure way to bridge your LLMs with various data sources and functionalities.
,,
,Cloudflare Browser Rendering,"Fetch and process web content seamlessly for your LLMs. Enhance your applications with structured content extraction, documentation search, and content summarization capabilities. Capture screenshots of web pages to enrich your context and insights."
,,
,Unsplash Server,Access a vast library of high-quality images from Unsplash. Integrate effortlessly with your applications to enhance visual content and user engagement. Utilize the power of Unsplash's API to fetch stunning images on demand.
,,
,Calculate Server,"Perform complex mathematical calculations effortlessly. Leverage powerful symbolic computation capabilities to solve equations, perform algebraic manipulations, and execute calculus operations with ease."
,,
,JFrog MCP Server,"Manage your repositories, track builds, and oversee the release lifecycle seamlessly. Leverage powerful AQL queries to search for artifacts and monitor runtime clusters effectively. Enhance your JFrog platform experience with this integrated MCP server."
,,
,Penumbra Blockchain,Interact with the Penumbra blockchain for privacy-preserving features.
,,
,PDF to Markdown Conversion Service,Convert PDF files to structured Markdown format effortlessly. Process local files and URLs in batches while preserving the original document structure and layout. Integrate seamlessly with LLM clients for enhanced functionality.
,,
,Railway MCP Server,"Manage your Railway.app infrastructure effortlessly. Deploy services, manage variables, and monitor deployments using natural language commands. Streamline your development workflow with AI-driven interactions."
,,
,Exa MCP Server,"Enable AI assistants to perform web searches using Exa's powerful search API. Get real-time web information in a safe and controlled way, while caching recent searches for future reference. Simplify your search experience with customizable parameters and automatic live crawling."
,,
,FantasyPros API Server,"Access sports data, news, rankings, and projections seamlessly. Retrieve the latest updates and player information for NFL, MLB, NBA, and NHL with ease. Enhance your applications with real-time sports insights and analytics."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Flux Cloudflare MCP,Generate high-quality images using AI with seamless integration into your applications. Leverage customizable parameters for image generation and enjoy secure processing through Cloudflare Workers. Enhance your AI assistants with powerful image capabilities effortlessly.
,,
,MailPace MCP Server,Send emails effortlessly using MailPace's fast transactional email API. Integrate email capabilities into your applications and streamline communication with ease. Start sending emails with just a few simple configurations.
,,
,HubSpot API Integration Server,"Enable seamless interaction with HubSpot's contacts, deals, and engagement data through a standardized protocol. Access and manipulate HubSpot data effortlessly, enhancing your LLM's capabilities with real-time CRM insights. Simplify your workflow by integrating HubSpot functionalities directly into your applications."
,,
,MCP Chain of Draft (CoD) Prompt Tool,"MCP Chain of Draft (CoD) Prompt Tool is a BYOLLM MCP (Model Context Protocol) tool that transforms your prompt using another LLM, applying CoD or CoT reasoning techniques, before delivering the final result. CoD is a novel paradigm that allows LLMs to generate minimalistic yet informative intermediate reasoning outputs while solving tasks, significantly reducing token usage while maintaining accuracy. For fast setup -> scroll ↓  click ""Connect""! --------------------------------------------------------------------------------------------- DO NOT be daunted by all the configurations—you can simply scroll down and hit “Connect” to get started effortlessly."
,,
,MCP GitHub Projects,Streamline your project management with integrated tools and resources. Enhance collaboration and efficiency by leveraging the power of the Model Context Protocol to connect your projects with real-world data and actions. Simplify workflows and improve productivity with a standardized approach to managing your GitHub projects.
,,
,YouTube MCP Server,"Interact with YouTube data seamlessly. Query videos, channels, and comments through a simple interface, enhancing your applications with rich YouTube content."
,,
,Weather MCP Server,Retrieve real-time weather information effortlessly. Get alerts and forecasts for specific locations using the National Weather Service API. Enhance your applications with accurate weather data at your fingertips.
,,
,Olostep MCP Server,"Enable your AI assistants to scrape web content and extract valuable information effortlessly. Utilize powerful tools to retrieve webpage content, map websites, and access structured Google search results. Enhance your AI's capabilities with seamless web interaction."
,,
,Xiaohua,"Enhance your applications with powerful language model capabilities. Seamlessly integrate real-world data and tools to create dynamic, context-aware interactions. Empower your agents to perform complex tasks effortlessly."
,,
,SorTage Gemini 2.5 Pro Thinking,"Leverage advanced analytical thinking capabilities to break down complex problems and generate thoughtful responses. Enhance your problem-solving process with insights, confidence levels, and alternative approaches, all while maintaining session persistence for ongoing analysis."
,,
,RSS Markdown Generator,Generate Markdown content from RSS feeds effortlessly. Transform your RSS data into well-structured Markdown documents for easy sharing and publishing.
,,
,mcp-server,Create and run your own MCP server with ease. Leverage the power of Python and the uv package manager to build dynamic integrations for your applications. Simplify the process of connecting large language models with real-world data and tools.
,,
,Browserbase MCP Server,"Automate web browsing and data extraction with ease. Interact with web pages, capture screenshots, and execute JavaScript in a cloud environment to enhance your AI applications. Streamline your workflows by integrating powerful browser automation capabilities into your LLM solutions."
,,
,Map MCP Server,Enhance your applications with dynamic data integration and real-time context manipulation. Access and manage external resources seamlessly to enrich user interactions. Empower your agents with the ability to perform actions and retrieve data effortlessly.
,,
,Nmap Integration,"Enable seamless network scanning capabilities within MCP-compatible environments. Perform various network scans, such as top ports scanning and DNS brute force, directly through MCP interfaces to enhance your network security assessments."
,,
,Desktop TXT File Manager,"Manage your desktop TXT files effortlessly. Count, list, and create TXT files with user-friendly interactions. Simplify your file management tasks on your desktop with this intuitive tool."
,,
,testing,Empower your applications with dynamic data integration and real-time context manipulation. Enhance user interactions by seamlessly connecting to external resources and tools. Simplify complex workflows with reusable prompt templates for a more efficient development experience.
,,
,Memos MCP 服务器,连接到你的 Memos 实例，安全地通过 AI 助手与备忘录交互。利用强大的工具进行搜索、创建、更新和管理备忘录，提升你的工作效率。
,,
,GitHub MCP Server for Pera1,A Model Context Protocol server that connects GitHub code to Claude.ai utilizing the Pera1 service for code extraction.
,,
,ALAPI MCP Server,Integrate ALAPI's powerful APIs directly into your applications using the MCP protocol. Access a variety of services like video parsing and weather queries seamlessly. Enhance your projects with easy-to-use API calls and standardized responses.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Volatility MCP Server,"Analyze memory dumps using natural language queries to simplify forensic investigations. This tool reduces the technical expertise required for memory forensics, accelerating the analysis process and helping to clear case backlogs. Empower forensic experts with automated insights and faster results for improved cybersecurity response."
,,
,Desktop TXT File Manager,"Manage your desktop TXT files effortlessly. Count, list, and create TXT files with user-friendly interactions. Simplify your file management tasks on your desktop with this intuitive tool."
,,
,Google Cloud Services Integration,"Connect to Google Cloud services to query logs, execute SQL queries, retrieve metrics, and analyze traces. Enhance your debugging and monitoring capabilities with natural language support for seamless interaction with your cloud resources."
,,
,Asset Price MCP,"Retrieve and display real-time asset price information effortlessly. Access current prices for various assets, including precious metals and cryptocurrencies, to enhance your applications. Simplify data retrieval for large language models with this dedicated service."
,,
,EcoGo-AI,"Search for and book flights seamlessly with our integrated MCP server. Retrieve booking details and ticket information effortlessly, ensuring a smooth travel experience. Leverage our API integration for reliable flight data and booking management."
,,
,Flomo Notes Server,Create and organize your notes in Flomo directly through AI chat interactions. Use natural language commands to seamlessly save your thoughts and ideas. Enhance your productivity by integrating note-taking with AI assistance.
,,
,Sample MCP Server,Integrate your applications with real-world data and tools seamlessly. Enhance your workflows by allowing your language models to interact with external resources and perform actions dynamically. Experience a standardized and secure way to bridge LLMs with various data sources.
,,
,Pump.fun MCP Server,"Enable your AI assistants to interact with the Pump.fun platform on Solana. Create, buy, and sell tokens seamlessly while managing your Solana accounts securely. Leverage the power of AI to enhance your token transactions and account management."
,,
,Swift,"Transform legacy systems into competitive advantages by deploying faster and reducing incidents. Modernize incrementally without risky rewrites or expensive consultants, cutting legacy system incidents by 60%. Experience zero-disruption implementation and accelerate deployment cycles from weeks to days."
,,
,Chaitin IP Intelligence,Check IP reputations and subscribe to comprehensive malicious IP databases. Leverage real-time data from a global honeypot network to enhance your threat detection capabilities.
,,
,Weather MCP Server,"Provide real-time weather information and alerts for any US location. Get detailed forecasts and alerts through a simple API, enhancing your AI agents with up-to-date weather data. Leverage the National Weather Service API for accurate and timely weather insights."
,,
,Dictionary Server,Retrieve word meanings seamlessly from the Cambridge Dictionary. Enhance your AI assistants with robust dictionary query tools through the MCP protocol. Integrate effortlessly into your command line for quick access to definitions and examples.
,,
,Raccoon AI MCP Server,"Raccoon AI's Model Context Protocol (MCP) server that enables leveraging the LAM API for web browsing, data extraction, and complex web tasks automation."
,,
,MCP Server for Continue,"Expose customizable prompt templates, resources, and tools to enhance your development workflow. Utilize a conversational LLM to refine ideas, generate tests, and create detailed project blueprints. Streamline your coding process with integrated web search and documentation resources."
,,
,Modal MCP Toolbox,"A collection of tools that run on modal. Currently:  

- `run_python_code_in_sandbox`  
- `generate_flux_image`"
,,
,Weather MCP Server,"Retrieve real-time weather data effortlessly. Get detailed weather information including temperature, humidity, and wind speed using the OpenWeatherMap API. Enhance your applications with accurate weather insights in metric units."
,,
,Gitee MCP Server,"Interact with Gitee's API to manage repositories, issues, and pull requests seamlessly. Automate your workflow by leveraging AI assistants to handle tasks like creating issues and pull requests efficiently. Enhance your development process with easy configuration and powerful tools for Gitee operations."
,,
,Manifold Markets MCP Server,"Interact with prediction markets seamlessly. Create, manage, and trade in markets while leveraging collective intelligence features for enhanced decision-making."
,,
,MCP Study,"Explore and integrate various functionalities of the Model Context Protocol. Enhance your applications by leveraging tools, resources, and prompts seamlessly. Experience a structured approach to connecting language models with real-world data and actions."
,,
,HackMD MCP Server,"Interact with your HackMD notes and teams seamlessly. Manage your notes, view reading history, and collaborate with team members using AI assistants. Simplify your note-taking experience with powerful API integrations."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,FlightRadar,"Access real-time flight tracking and status information effortlessly. Get detailed flight data, search for flights by various criteria, and receive human-readable status summaries with ease."
,,
,Grok AI MCP Server,"Analyze Solana blockchain transactions and addresses, process images, and answer general queries with advanced AI capabilities. Leverage Grok's vision and contextual understanding to gain insights and enhance your blockchain experience."
,,
,Sentry Issue Analyzer,"Retrieve and analyze issues from your Sentry account effortlessly. Inspect error reports, stack traces, and debugging information to enhance your application's reliability. Streamline your debugging process with easy access to detailed issue insights."
,,
,Wongames MCP,Enhance your applications with dynamic context integration. Access and manipulate real-world data and tools seamlessly to enrich user interactions and functionalities.
,,
,Plausible Analytics Server,Query your analytics data effortlessly. Generate insightful reports and daily overviews from your Plausible account with ease. Enhance your AI models' capabilities by integrating real-time analytics data.
,,
,Car Listings,Manage and retrieve car listings efficiently. Streamline your vehicle inventory management and enhance user experience with quick access to detailed car information.
,,
,Rock Paper Scissors,Play rock paper scissors with Josh Mayer. (very hard)
,,
,Atlassian Jira Integration Server,"Connect your AI systems to Atlassian Jira effortlessly. Retrieve and manage Jira projects and issues directly from your AI assistant, enhancing productivity and streamlining workflows."
,,
,Neo4j Aura Database Manager,"Manage your Neo4j Aura database instances effortlessly. Create, monitor, and maintain your graph database infrastructure directly through Claude, streamlining your database management tasks."
,,
,Tembo Cloud API,Provide a standardized interface for integrating with the Tembo Cloud platform.
,,
,DICOM Model Context Protocol Server,Enable AI assistants to interact with DICOM servers for querying patient information and analyzing medical imaging metadata. Extract text from encapsulated PDF documents in DICOM format to enhance clinical report analysis. Streamline medical data access and improve healthcare workflows with standardized DICOM networking protocols.
,,
,DevHub CMS Integration,"Manage your content seamlessly within the DevHub CMS system. Utilize powerful tools to create, update, and retrieve blog posts and media, all through a simple interface. Enhance your content management experience with the capabilities of Large Language Models without direct API integration."
,,
,Safe MCP Server,"Interact with Safe smart contract wallets to query transactions, retrieve multisig details, and decode transaction data. Simplify your operations with seamless integration to the Safe API, allowing for efficient management of your digital assets."
,,
,Jupiter Swap API Server,"Enable Claude to interact with the Jupiter swap API on the Solana blockchain. Get quotes, build, and send swap transactions seamlessly. Enhance your trading experience with direct access to token swaps."
,,
,Chargebee MCP Server,"Enhance your development experience by integrating Chargebee's API services and documentation directly into your coding environment. Get instant answers, context-aware code snippets, and access to Chargebee's knowledge base to streamline your integration process. Perfect for developers using AI-powered code editors and tools."
,,
,Azure Data Explorer Server,Access your Azure Data Explorer clusters and databases through standardized interfaces. Execute KQL queries and explore your data seamlessly with AI assistants. Enhance your data interaction capabilities with interactive tools and authentication support.
,,
,Tally API Server,Access DAO governance data from Tally API.
,,
,Wikidata MCP Server,"Interact with Wikidata seamlessly. Search for entities, extract metadata, and execute SPARQL queries to enhance your applications with rich data insights."
,,
,DexPaprika,"Access decentralized exchange data effortlessly. Fetch and analyze DEX, token, and liquidity pool information without the need for API keys, empowering your AI assistants with real-time insights."
,,
,API.Market MCP Server (40 tools),Connect with 40+ APIs and AI models from API.market through a single powerful MCP server.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Votars MCP,"Integrate advanced AI functionalities into your applications with Votars. Process complex tasks efficiently using robust APIs designed for high performance and scalability. Experience seamless voice recording, transcription, and intelligent AI processing for your meetings."
,,
,IMDb Server,"Access comprehensive movie and TV show information effortlessly. Retrieve detailed data about films, actors, and upcoming releases using the IMDb API. Enhance your applications with rich media content and insights."
,,
,Fetch Server,"Retrieve and process web content effortlessly. Convert HTML to markdown for easier consumption by LLMs, allowing models to extract information in manageable chunks. Enhance your applications with web content fetching capabilities."
,,
,ArcGIS Location Services,"Leverage powerful geocoding, reverse geocoding, and routing capabilities to enhance your applications. Access detailed location data and nearby points of interest seamlessly. Integrate with ArcGIS Location Services to provide users with accurate and efficient location-based solutions."
,,
,Marvel MCP Server,"Interact with Marvel characters and comics data seamlessly. Fetch character details, comics, and more using the Marvel Developer API. Enhance your applications with rich Marvel content effortlessly."
,,
,Clojure Linter,"Lint your Clojure, ClojureScript, and EDN files effortlessly. Enhance your coding experience by integrating linting capabilities directly into your development environment. Ensure code quality and adherence to best practices with ease."
,,
,Q-Anon Posts/Drops Server,"Access and analyze a dataset of Q-Anon posts for research purposes. Search, filter, and gain insights into the Q-Anon drops using AI assistants like Claude. Utilize this tool to explore sociological aspects of the dataset safely and responsibly."
,,
,GitHub Trending,"Access trending repositories and developers on GitHub effortlessly. Filter results by programming language, time period, and spoken language to find the most relevant data for your needs."
,,
,MCP Server Example,"Build a functional server that integrates with various LLM clients. Connect your AI models to different data sources and tools seamlessly. Enhance your applications with standardized capabilities for accessing resources, executing tools, and utilizing prompts."
,,
,Parquet MCP Server,"Manipulate and analyze Parquet files efficiently. Generate text embeddings, extract file information, and convert files to DuckDB or PostgreSQL formats seamlessly."
,,
,AgentMail Toolkit,Enhance your applications with powerful email automation capabilities. Streamline communication and manage email workflows effortlessly with our intuitive toolkit. Integrate seamlessly to boost productivity and user engagement.
,,
,Microsoft 365 Bookings,"Interact with Microsoft Bookings seamlessly through the Microsoft Graph API. Access and manage your bookings, staff, services, and appointments effortlessly. Enhance your scheduling capabilities with powerful tools designed for efficiency and ease of use."
,,
,Marginalia,Access the Marginalia Search API for non-commercial content search.
,,
,Cloudflare to GitHub Backup,Automate the backup of your Cloudflare projects to a GitHub repository. Ensure your projects are securely stored and easily retrievable with this seamless integration. Start safeguarding your Cloudflare data today with minimal setup required.
,,
,API Security Tester,Test and analyze your API endpoints for security vulnerabilities. Ensure your APIs are secure with comprehensive testing tools that cover everything from endpoint discovery to JWT token analysis.
,,
,Think Tool Server,"Enhance Claude's reasoning capabilities with a dedicated tool for structured thinking. Use this tool to navigate complex problem-solving tasks effectively, ensuring adherence to policies and improving decision-making processes. Optimize your interactions with Claude by leveraging the think tool for better outcomes in multi-step analyses."
,,
,bioRxiv MCP Server,Enable AI assistants to search and access bioRxiv papers through a simple interface. Retrieve detailed metadata and download papers to facilitate biological sciences research and analysis.
,,
,hh-jira-mcp-server,Connect your Jira account to enhance your workflow with real-time data access and manipulation. Streamline project management by integrating Jira tasks directly into your applications. Experience seamless interaction with your Jira environment through a powerful MCP server.
,,
,Microsoft 365 Core Server,"Manage your Microsoft 365 services effortlessly. Create and manage distribution lists, security groups, and user settings with ease, ensuring streamlined operations and enhanced collaboration. Automate offboarding processes to maintain security and compliance effortlessly."
,,
,Tradovate Tools,"Manage your trading operations seamlessly. Access and analyze contracts, positions, and market data with ease, while executing trades directly through the Tradovate platform."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Remote MacOs Use,"Enable AI to fully control remote macOS systems effortlessly. Experience a native macOS environment without additional software installations, allowing your AI to operate seamlessly. Enjoy universal compatibility and minimal setup for instant productivity."
,,
,Exa MCP Server,"Enable AI assistants to perform web searches using Exa's powerful search API. Get real-time web information in a safe and controlled way, while caching recent searches for future reference. Enhance your AI's capabilities with structured search results and customizable parameters."
,,
,Panintellegence API MCP Server,"Interact with the Panintellegence PI Dashboard API seamlessly. Access and manage dashboard resources like categories and charts securely, enabling your AI assistants to provide actionable insights effortlessly."
,,
,MCP Server Example,Build a functional server that integrates with various LLM clients. Connect your AI models to different data sources and tools seamlessly. Enhance your applications with standardized capabilities for better data access and manipulation.
,,
,TinyPNG MCP Server,"Compress images effortlessly by utilizing the TinyPNG API. Optimize your images for web use, reducing file size without sacrificing quality. Enhance your projects with seamless image compression capabilities."
,,
,Giphy API Integration,"Search, retrieve, and utilize GIFs from Giphy seamlessly. Filter content by rating and access trending GIFs to enhance your AI models with engaging visuals."
,,
,YNAB Budget Assistant,"Interact with your YNAB budget through AI conversations. Manage your finances effortlessly by adding transactions, approving expenses, and checking your budget status with simple commands."
,,
,Sharepoint,Connect to your organizational Sharepoint seamlessly. Access and manage documents and files using Microsoft Graph API with ease. Enhance your productivity by utilizing tools for searching and reading documents directly from Sharepoint.
,,
,Veri5ight,A Model Context Protocol (MCP) server that helps Claude chat with Ethereum nodes.
,,
,Alpha Vantage MCP Server,"Access real-time financial market data effortlessly. Retrieve stock quotes, company information, and cryptocurrency exchange rates with a standardized interface. Enhance your applications with reliable financial insights using the Alpha Vantage API."
,,
,Shodan MCP Server,"Leverage Shodan's powerful API capabilities to enhance your cybersecurity operations. Perform network intelligence tasks such as host lookups, vulnerability analysis, and network scanning with ease. Streamline your workflows with integrated tools and prompt templates designed for cybersecurity professionals."
,,
,FindMCP,"Discover and access MCP services effortlessly. Utilize this directory tool to find and connect with various MCP services, enhancing your LLM's capabilities. Simplify your integration with a user-friendly interface designed for seamless service discovery."
,,
,SiYuan Note Server,"Enable seamless interaction with SiYuan Note through standardized tools. Manage notebooks, documents, and blocks effortlessly while leveraging the power of LLMs. Enhance your note-taking experience with advanced features and integrations."
,,
,Pica MCP Server,Connect your AI applications to external tools and data sources seamlessly. Enhance your AI's capabilities by integrating with local services and APIs while maintaining user control. Experience a streamlined setup with Docker or manual installation options.
,,
,TinyPNG MCP Server,"Compress images efficiently by utilizing the TinyPNG API. Easily compress both local and remote images with just a few commands, saving time and storage space. Enhance your image optimization workflow seamlessly with this server."
,,
,RapidAPI,Integrate your applications with external APIs seamlessly. Enhance your projects by leveraging the power of RapidAPI to access a wide range of services and data. Simplify API management and streamline your development process with our easy-to-use MCP server.
,,
,APIMatic Validator,Validate your OpenAPI specifications effortlessly. Ensure compliance and catch issues early by leveraging comprehensive validation powered by APIMatic's API. Support for both JSON and YAML formats makes it versatile for your development needs.
,,
,Yeoman Server,Integrate with Yeoman generators to programmatically search for and run templates. Streamline your development process by automating the creation of applications with customizable options and arguments.
,,
,Unity MCP Template,"Build and configure your own tools to expand and develop further in Unity. This project demonstrates how to interact with a TypeScript-based MCP server, enabling seamless integration and tool creation. Start enhancing your Unity projects with custom functionalities today!"
,,
,LocalAPI MCP Server,"Enable LLMs to interact with browser functionalities like creating, updating, and managing browser instances seamlessly. Automate browser operations and enhance your workflow with advanced fingerprint and proxy configurations. Simplify your browser management tasks with intuitive commands and integrations."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,mcp-test,Enhance your applications with dynamic integration of external data and tools. Utilize a standardized protocol to interact with real-world resources and actions seamlessly. Empower your LLMs to reference and manipulate data securely and efficiently.
,,
,Teste MCP Cedraz,Integrate your applications with external data and tools seamlessly. Enhance your workflows by leveraging real-time data and executing actions through a standardized interface.
,,
,Wait Timer Server,"Introduce deliberate pauses in your workflows to ensure time-dependent operations complete successfully. Use the `wait` tool to instruct your MCP client to pause for a specified duration, preventing premature execution of subsequent steps. Perfect for web automation, command line operations, and API interactions."
,,
,DevDocs,Transform your documentation research from weeks into hours of productive development. Leverage intelligent crawling and built-in MCP servers to streamline your team's knowledge base into actionable resources. Build faster with any technology using our LLM-ready platform.
,,
,Chain of Draft Server,"Enhance your decision-making process with systematic, iterative refinement of thoughts and designs. Utilize the Chain of Draft protocol to improve reasoning, API design, and implementation planning effectively. Integrate seamlessly with popular AI agents for a structured approach to development."
,,
,Knowledge Graph Memory Server,"Manage and enhance your interactions with a robust knowledge graph. Capture, store, and retrieve contextual information seamlessly using PouchDB for improved data consistency and performance. Organize your memory data by project-specific paths for better management and retrieval."
,,
,Apache JMeter Test Execution Server,"Execute JMeter tests seamlessly through MCP-compatible clients. Validate your test files and capture execution output effortlessly, whether in GUI or non-GUI mode. Enhance your testing workflow with this powerful integration."
,,
,Weather MCP Server,Fetch real-time weather alerts and forecasts for any location in the United States. Access detailed weather information effortlessly using state codes or geographic coordinates. Stay informed with structured logging and robust error handling for a seamless experience.
,,
,Alphavantage MCP Server,Access real-time and historical stock market data effortlessly. Integrate stock market insights into your applications using the Alphavantage API with this MCP server. Get started quickly by configuring your API key and running the server to fetch market data.
,,
,Unified Narrative Operator,"Transform your ordinary story content into rich, detailed narratives. Enhance your writing with advanced literary techniques that analyze, expand, and enrich your text while preserving your unique voice. Experience a personal narrative assistant that helps you craft compelling stories effortlessly."
,,
,DingTalk AI Server,Create and manage assistant threads for DingTalk AI services. Integrate seamlessly with DingTalk APIs to enhance your messaging and assistant capabilities. Start building intelligent interactions effortlessly with this Node.js implementation.
,,
,Octomind MCP Server,"Enable your agents to create, execute, and manage end-to-end tests seamlessly. Leverage Octomind's tools and resources in your local development environment to enhance your testing capabilities. Simplify your testing workflow with automated features and easy integration."
,,
,MCP Notifier,Send desktop notifications easily with customizable settings and various notification types. Enhance your applications with simple and advanced notification capabilities to keep users informed and engaged.
,,
